"","id","n","correct","near","t","l","cond","csv"
"337",308,10,0,30,1045,2,"uncued",15
"338",308,10,1,30,1171,2,"uncued",8
"339",308,50,1,70,898,2,"uncued",13
"340",308,30,0,70,955,2,"uncued",14
"341",308,50,1,70,1106,2,"uncued",18
"342",308,10,1,30,1210,2,"uncued",4
"343",308,10,1,70,1241,2,"uncued",10
"344",308,40,1,30,1288,2,"uncued",10
"345",308,40,1,70,1086,2,"uncued",6
"346",308,10,0,70,1734,2,"uncued",8
"347",308,20,1,70,967,2,"uncued",11
"348",308,20,1,30,929,2,"uncued",12
"349",308,20,1,70,1042,2,"uncued",20
"350",308,40,1,30,1299,2,"uncued",18
"351",308,10,0,70,1021,2,"uncued",8
"352",308,30,1,70,918,2,"uncued",19
"353",308,50,1,70,1026,2,"uncued",11
"354",308,20,1,30,1496,2,"uncued",19
"355",308,20,1,30,942,2,"uncued",9
"356",308,10,1,30,1139,2,"uncued",12
"357",308,50,1,70,1005,2,"uncued",5
"358",308,40,1,70,943,2,"uncued",16
"359",308,10,1,70,1122,2,"uncued",15
"360",308,50,1,70,886,2,"uncued",12
"361",308,30,1,30,1002,2,"uncued",20
"362",308,30,1,70,1071,2,"uncued",7
"363",308,40,1,70,951,2,"uncued",20
"364",308,20,0,30,977,2,"uncued",10
"365",308,30,1,30,1410,2,"uncued",2
"366",308,40,1,30,903,2,"uncued",17
"367",308,20,1,70,954,2,"uncued",4
"368",308,20,1,30,1006,2,"uncued",18
"369",308,50,1,70,1373,2,"uncued",14
"370",308,50,1,30,1202,2,"uncued",3
"371",308,20,0,30,1194,2,"uncued",20
"372",308,40,1,30,1018,2,"uncued",7
"373",308,10,0,30,815,2,"uncued",15
"374",308,50,1,30,995,2,"uncued",9
"375",308,40,1,30,889,2,"uncued",3
"376",308,10,1,30,1454,2,"uncued",13
"377",308,20,1,30,1510,2,"uncued",8
"378",308,20,1,70,983,2,"uncued",16
"379",308,30,1,30,1246,2,"uncued",2
"380",308,10,1,30,1135,2,"uncued",14
"381",308,10,1,30,983,2,"uncued",13
"382",308,50,1,30,1070,2,"uncued",1
"383",308,10,1,70,1146,2,"uncued",12
"384",308,40,1,30,1730,2,"uncued",15
"385",308,30,1,30,1042,2,"uncued",2
"386",308,50,1,30,1202,2,"uncued",12
"387",308,40,1,70,1134,2,"uncued",5
"388",308,50,1,70,1046,2,"uncued",19
"389",308,20,1,30,1559,2,"uncued",5
"390",308,10,1,70,1319,2,"uncued",11
"391",308,30,1,30,1402,2,"uncued",6
"392",308,20,1,70,1479,2,"uncued",16
"393",308,50,1,30,1066,2,"uncued",9
"394",308,30,1,70,987,2,"uncued",3
"395",308,20,1,70,939,2,"uncued",2
"396",308,10,1,30,1086,2,"uncued",18
"397",308,10,0,30,1146,2,"uncued",2
"398",308,40,1,70,753,2,"uncued",20
"399",308,30,1,70,1111,2,"uncued",6
"400",308,10,1,70,974,2,"uncued",8
"401",309,30,1,70,1950,2,"uncued",6
"402",309,50,1,30,820,2,"uncued",12
"403",309,20,1,30,86,2,"uncued",18
"404",309,50,0,70,1128,2,"uncued",13
"405",309,50,1,70,492,2,"uncued",1
"406",309,10,1,70,5719,2,"uncued",14
"407",309,40,1,30,802,2,"uncued",3
"408",309,10,0,30,1638,2,"uncued",4
"409",309,40,0,70,830,2,"uncued",4
"410",309,50,1,70,90,2,"uncued",15
"411",309,10,1,30,1154,2,"uncued",5
"412",309,50,0,70,750,2,"uncued",8
"413",309,30,0,30,110,2,"uncued",12
"414",309,10,1,70,102,2,"uncued",4
"415",309,40,0,30,6194,2,"uncued",12
"416",309,20,1,70,261,2,"uncued",8
"417",309,10,0,30,7815,2,"uncued",6
"418",309,50,0,70,1639,2,"uncued",3
"419",309,30,1,70,612,2,"uncued",17
"420",309,40,0,70,1055,2,"uncued",5
"421",309,30,1,30,634,2,"uncued",3
"422",309,50,1,30,946,2,"uncued",7
"423",309,20,1,70,1201,2,"uncued",19
"424",309,10,0,30,1455,2,"uncued",19
"425",309,20,1,70,1127,2,"uncued",10
"426",309,40,1,30,331,2,"uncued",9
"427",309,30,0,30,592,2,"uncued",11
"428",309,30,0,30,967,2,"uncued",6
"429",309,20,1,70,193,2,"uncued",19
"430",309,50,0,30,221,2,"uncued",20
"431",309,40,0,30,55,2,"uncued",20
"432",309,30,0,70,570,2,"uncued",15
"433",309,50,1,30,828,2,"uncued",18
"434",309,30,0,70,435,2,"uncued",12
"435",309,10,1,30,2685,2,"uncued",19
"436",309,30,1,30,992,2,"uncued",14
"437",309,10,0,70,768,2,"uncued",1
"438",309,40,1,70,189,2,"uncued",7
"439",309,10,0,70,110,2,"uncued",20
"440",309,40,0,30,124,2,"uncued",12
"441",309,40,0,30,78,2,"uncued",1
"442",309,30,0,70,2229,2,"uncued",9
"443",309,20,0,70,1534,2,"uncued",17
"444",309,50,1,30,762,2,"uncued",2
"445",309,10,0,70,785,2,"uncued",3
"446",309,10,0,70,366,2,"uncued",5
